"","tax_id","species","genus","family","order","class","phylum","clade","superkingdom","subspecies","species.subgroup","species.group"
"barcode04.1","86189","[Pseudomonas] hibiscicola","Stenotrophomonas","Xanthomonadaceae","Xanthomonadales","Gammaproteobacteria","Proteobacteria","","Bacteria",NA,NA,"Stenotrophomonas maltophilia group"
"barcode04.2","1243630","Arthrobacter sp. G20","Arthrobacter","Micrococcaceae","Micrococcales","Actinomycetia","Actinobacteria","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.3","1459","Sporosarcina globispora","Sporosarcina","Planococcaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.4","68284","Streptomyces werraensis","Streptomyces","Streptomycetaceae","Streptomycetales","Actinomycetia","Actinobacteria","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.5","56810","Psychrobacter glacincola","Psychrobacter","Moraxellaceae","Moraxellales","Gammaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode04.6","75458","uncultured haloarchaeon MSP23","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode04.7","75451","uncultured haloarchaeon MSP9","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode04.8","75449","uncultured haloarchaeon MSP1","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode04.9","160804","uncultured haloarchaeon","","Halobacteriaceae","Halobacteriales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode04.10","86473","uncultured Gammaproteobacteria bacterium","","","","Gammaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode04.11","148448","Halobiforma haloterrestris","Halobiforma","Natrialbaceae","Natrialbales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode04.12","344338","uncultured Firmicutes bacterium","","","","","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.13","152508","uncultured low G+C Gram-positive bacterium","","","","","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.14","168379","Halorhodospira neutriphila","Halorhodospira","Ectothiorhodospiraceae","Chromatiales","Gammaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode04.15","1482731","Alkaliphilus serpentinus","Alkaliphilus","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.16","1211","uncultured cyanobacterium","","","","","Cyanobacteria","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.17","137771","uncultured diatom","","","","","Bacillariophyta","Sar","Eukaryota",NA,NA,""
"barcode04.18","100272","uncultured eukaryote","","","","","","","Eukaryota",NA,NA,""
"barcode04.19","645025","uncultured Halorhodospira sp.","Halorhodospira","Ectothiorhodospiraceae","Chromatiales","Gammaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode04.20","1822367","Candidatus Moeniiplasma glomeromycotorum","Candidatus Moeniiplasma","Mycoplasmataceae","Mycoplasmatales","Mollicutes","Tenericutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.21","75454","uncultured haloarchaeon MSP14","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode04.22","321763","Halarsenatibacter silvermanii","Halarsenatibacter","Halanaerobiaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.23","1379109","Natrinema sp. A3BC2sc","Natrinema","Natrialbaceae","Natrialbales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode04.24","13136","unidentified marine bacterioplankton","","","","","","","Bacteria",NA,NA,""
"barcode04.25","153809","uncultured proteobacterium","","","","","Proteobacteria","","Bacteria",NA,NA,""
"barcode04.26","549628","Halanaerobiaceae enrichment culture clone SLAb1-1","","Halanaerobiaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.27","1260629","Proteinivorax tanatarense","Proteinivorax","Proteinivoraceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.28","unassigned","","","","","","","","",NA,NA,""
"barcode09.2","1243629","Arthrobacter sp. F20","Arthrobacter","Micrococcaceae","Micrococcales","Actinomycetia","Actinobacteria","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.5","293027","Streptomycetaceae bacterium N-39-25-5","","Streptomycetaceae","Streptomycetales","Actinomycetia","Actinobacteria","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.6","1632536","bacterium YC-ZSS-LKJ141","","","","","","","Bacteria",NA,NA,""
"barcode09.7","1652101","Polygonibacillus indicireducens","Polygonibacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.8","83428","uncultured Bacillus sp.","Bacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.9","1405","Bacillus mycoides","Bacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,"Bacillus cereus group"
"barcode09.10","34034","uncultured delta proteobacterium","","","","Deltaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode09.14","374446","uncultured Halanaerobiaceae bacterium","","Halanaerobiaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.15","1434881","Orenia chitinitropha","Orenia","Halobacteroidaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.16","622674","Desulfitispora alkaliphila","Desulfitispora","Peptococcaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.17","723920","Natroniella sp. AHT18","Natroniella","Halobacteroidaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.18","114243","uncultured euryarchaeote","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode09.19","90326","uncultured archeon 'KTK 4A'","","","","","","","Archaea",NA,NA,""
"barcode09.20","273375","uncultured Alkaliphilus sp.","Alkaliphilus","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.22","1482730","Alkaliphilus hydrothermalis","Alkaliphilus","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.23","1482732","Alkaliphilus pronyensis","Alkaliphilus","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.26","89959","Natronincola histidinovorans","Natronincola","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.27","1632556","bacterium YC-ZSS-LKJ160","","","","","","","Bacteria",NA,NA,""
"barcode09.28","215779","uncultured candidate division MSBL1 archaeon","","","","","Euryarchaeota","candidate division MSBL1","Archaea",NA,NA,""
"barcode09.29","309164","uncultured Dunaliella sp.","Dunaliella","Dunaliellaceae","Chlamydomonadales","Chlorophyceae","Chlorophyta","core chlorophytes","Eukaryota",NA,NA,""
"barcode09.31","215776","uncultured Halanaerobiales bacterium","","","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.32","1321266","uncultured Anaerobacillus sp.","Anaerobacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.33","1914963","Roseivirga seohaensis","Roseivirga","Roseivirgaceae","Cytophagales","Cytophagia","Bacteroidetes","FCB group","Bacteria",NA,NA,""
"barcode09.34","59620","uncultured Clostridium sp.","Clostridium","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode09.35","265486","Oxobacter sp. PPf50E4","Oxobacter","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.4","114628","Alkaliphilus transvaalensis","Alkaliphilus","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.6","1632593","bacterium YC-ZSS-LKJ196","","","","","","","Bacteria",NA,NA,""
"barcode11.7","1632604","bacterium YC-ZSS-LKJ25","","","","","","","Bacteria",NA,NA,""
"barcode11.8","375929","Natranaerobius thermophilus","Natranaerobius","Natranaerobiaceae","Natranaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.9","929101","Natranaerobaculum magadiense","Natranaerobaculum","Natranaerobiaceae","Natranaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.10","172733","uncultured Eubacteriales bacterium","","","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.11","198431","uncultured prokaryote","","","","","","","",NA,NA,""
"barcode11.12","915032","Clostridia bacterium enrichment culture clone WSC-8","","","","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.14","293326","uncultured Acetivibrio sp.","Acetivibrio","Oscillospiraceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.16","261051","uncultured Natroniella sp.","Natroniella","Halobacteroidaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.17","46470","Halanaerobacter lacunarum","Halanaerobacter","Halobacteroidaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.18","706427","Halanaerobacter jeridensis","Halanaerobacter","Halobacteroidaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.19","723921","Natroniella sulfidigena","Natroniella","Halobacteroidaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.21","52004","Natroniella acetigena","Natroniella","Halobacteroidaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.24","1795816","Candidatus Syntrophonatronum acetioxidans","Candidatus Syntrophonatronum","Syntrophomonadaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.26","426129","Alkaliphilus peptidifermentans","Alkaliphilus","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.27","1454184","Alkaliphilus namsaraevii","Alkaliphilus","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.28","152509","uncultured Bacteroidetes bacterium","","","","","Bacteroidetes","FCB group","Bacteria",NA,NA,""
"barcode11.29","1222000","uncultured Halarsenatibacter sp.","Halarsenatibacter","Halanaerobiaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.32","2850","Phaeodactylum tricornutum","Phaeodactylum","Phaeodactylaceae","Naviculales","Bacillariophyceae","Bacillariophyta","Sar","Eukaryota",NA,NA,""
"barcode11.33","751952","uncultured Cyanobacterium sp.","Cyanobacterium","Geminocystaceae","Chroococcales","","Cyanobacteria","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.34","172788","uncultured phototrophic eukaryote","","","","","","","Eukaryota",NA,NA,""
"barcode11.38","427921","Bacillus sp. ANL-isoa2","Bacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.39","254346","uncultured Chlorella","","","","Trebouxiophyceae","Chlorophyta","core chlorophytes","Eukaryota",NA,NA,""
"barcode11.41","84022","Clostridium aceticum","Clostridium","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.42","38145","uncultured Gram-positive bacterium","","","","","","","Bacteria",NA,NA,""
"barcode11.43","42422","Halobacteroides halobius","Halobacteroides","Halobacteroidaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.44","164851","uncultured soil bacterium","","","","","","","Bacteria",NA,NA,""
"barcode11.45","3005","Rhizosolenia setigera","Rhizosolenia","Rhizosoleniaceae","Rhizosoleniales","Coscinodiscophyceae","Bacillariophyta","Sar","Eukaryota",NA,NA,""
"barcode11.46","700499","uncultured Clostridiisalibacter sp.","Clostridiisalibacter","Thermohalobacteraceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.47","348839","uncultured Moorella group bacterium","","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.48","1246530","Calderihabitans maritimus","Calderihabitans","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.52","427926","Dethiobacter alkaliphilus","Dethiobacter","Syntrophomonadaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.54","1664035","Desulfitispora elongata","Desulfitispora","Peptococcaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.55","35869","Zygnema circumcarinatum","Zygnema","Zygnemataceae","Zygnematales","Zygnemophyceae","Streptophyta","","Eukaryota",NA,NA,""
"barcode11.56","136703","uncultured rumen bacterium","","","","","","","Bacteria",NA,NA,""
"barcode11.57","155098","uncultured compost bacterium","","","","","","","Bacteria",NA,NA,""
"barcode11.58","244328","uncultured Clostridia bacterium","","","","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.59","152507","uncultured actinobacterium","","","","Actinomycetia","Actinobacteria","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.60","2731377","Alkalicella caledoniensis","Alkalicella","Proteinivoraceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.62","198439","uncultured Moorella sp.","Moorella","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.63","264641","Desulfitibacter alkalitolerans","Desulfitibacter","Peptococcaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.65","1632559","bacterium YC-ZSS-LKJ164","","","","","","","Bacteria",NA,NA,""
"barcode11.66","46469","Orenia marismortui","Orenia","Halobacteroidaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.67","1519327","Peptostreptococcaceae bacterium enrichment culture clone EC8-10-2_B10","","Peptostreptococcaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.70","85682","Anaerobacillus arseniciselenatis","Anaerobacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.71","1548597","Anaerobacillus alkaliphilus","Anaerobacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.72","472963","Anaerobacillus alkalidiazotrophicus","Anaerobacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.73","1532552","Anaerobacillus isosaccharinicus","Anaerobacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.74","393763","Anaerobacillus alkalilacustris","Anaerobacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.75","531400","Bacillus sp. JAEA No. 3-2","Bacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.76","946381","Cyanospira capsulata","Cyanospira","Aphanizomenonaceae","Nostocales","","Cyanobacteria","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.77","165799","Cyanospira rippkae","Cyanospira","Aphanizomenonaceae","Nostocales","","Cyanobacteria","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.78","569473","iron-reducing bacterium enrichment culture clone HN-HFO75","","","","","","","Bacteria",NA,NA,""
"barcode11.79","203437","uncultured Gemmatimonadetes bacterium","","","","","Gemmatimonadetes","FCB group","Bacteria",NA,NA,""
"barcode11.80","156406","uncultured spirochete","","","Spirochaetales","Spirochaetia","Spirochaetes","","Bacteria",NA,NA,""
"barcode11.81","42448","Anaerobranca horikoshii","Anaerobranca","Proteinivoraceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.84","227322","uncultured Paenibacillus sp.","Paenibacillus","Paenibacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.85","208226","Alkaliphilus metalliredigens","Alkaliphilus","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.86","119484","Syntrophobacter fumaroxidans","Syntrophobacter","Syntrophobacteraceae","Syntrophobacterales","Deltaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode11.88","1156372","Orenia sp. 1D4","Orenia","Halobacteroidaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.89","1455636","uncultured haloalkaliphilic bacterium","","","","","","","Bacteria",NA,NA,""
"barcode11.90","329911","uncultured Peptococcaceae bacterium","","Peptococcaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.91","624504","Bacillus sp. E-172","Bacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.92","624500","Bacillus sp. E-124","Bacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.93","624507","Bacillus sp. E-282","Bacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.94","1323375","Anoxybacter fermentans","Anoxybacter","","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.95","1274318","Haloplasmatales bacterium 4B","","Haloplasmataceae","Haloplasmatales","Mollicutes","Tenericutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.97","1632630","bacterium YC-ZSS-LKJ5","","","","","","","Bacteria",NA,NA,""
"barcode11.98","1413","Evansella cellulosilytica","Evansella","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.99","91750","uncultured Alphaproteobacteria bacterium","","","","Alphaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode11.100","1632641","bacterium YC-ZSS-LKJ60","","","","","","","Bacteria",NA,NA,""
"barcode11.101","1418","Caldalkalibacillus mannanilyticus","Caldalkalibacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.102","354366","Bacillus sp. M115","Bacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.103","156405","uncultured Chlorobi bacterium","","","","","Chlorobi","FCB group","Bacteria",NA,NA,""
"barcode11.104","180282","Delftia tsuruhatensis","Delftia","Comamonadaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode11.106","96419","uncultured bacterium B6-59","","","","","","","Bacteria",NA,NA,""
"barcode11.107","156588","uncultured Verrucomicrobia bacterium","","","","","Verrucomicrobia","PVC group","Bacteria",NA,NA,""
"barcode11.110","344985","Planococcus sp. Tibet-IX21","Planococcus","Planococcaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.111","201088","uncultured Desulfosporosinus sp.","Desulfosporosinus","Peptococcaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.112","283702","Syntrophobacterium sulfatireducens","Syntrophobacterium","Syntrophobacteraceae","Syntrophobacterales","Deltaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode11.113","221169","uncultured Gemmatimonas sp.","Gemmatimonas","Gemmatimonadaceae","Gemmatimonadales","Gemmatimonadetes","Gemmatimonadetes","FCB group","Bacteria",NA,NA,""
"barcode11.114","320502","Acetivibrio alkalicellulosi","Acetivibrio","Oscillospiraceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.115","766136","Desulfuribacillus alkaliarsenatis","Desulfuribacillus","","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.116","113228","Natronoanaerobium salstagnum","Natronoanaerobium","Natranaerobiaceae","Natranaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode11.117","62664","uncultured proteobacterium OCS7","Zoogloea","Zoogloeaceae","Rhodocyclales","Betaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode11.118","1632553","bacterium YC-ZSS-LKJ158","","","","","","","Bacteria",NA,NA,""
"barcode12.6","75455","uncultured haloarchaeon MSP16","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode13.12","185693","Alkaliphilus crotonatoxidans","Alkaliphilus","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode13.31","1396","Bacillus cereus","Bacillus","Bacillaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,"Bacillus cereus group"
"barcode13.32","75456","uncultured haloarchaeon MSP17","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode13.34","75452","uncultured haloarchaeon MSP11","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode13.41","387343","Halopiger xanaduensis","Halopiger","Natrialbaceae","Natrialbales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode13.55","77133","uncultured bacterium","","","","","","","Bacteria",NA,NA,""
"barcode13.58","543059","uncultured Halothermothrix sp.","Halothermothrix","Halanaerobiaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode20.3","75457","uncultured haloarchaeon MSP22","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode20.14","1364940","Halobium salinum","Halobium","Halorubraceae","Haloferacales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode20.16","332953","Halovivax asiaticus","Halovivax","Natrialbaceae","Natrialbales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode20.17","413810","Halalkalicoccus jeotgali","Halalkalicoccus","Halobacteriaceae","Halobacteriales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode20.19","153093","uncultured archaeon AM-14","","","","","","","Archaea",NA,NA,""
"barcode20.27","381852","Haloferax prahovense","Haloferax","Haloferacaceae","Haloferacales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode20.28","69525","Natrinema pellirubrum","Natrinema","Natrialbaceae","Natrialbales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode20.29","106592","Ensifer adhaerens","Ensifer","Rhizobiaceae","Hyphomicrobiales","Alphaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode20.30","1679083","Natrarchaeobius chitinivorans","Natrarchaeobius","Natrialbaceae","Natrialbales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode20.32","75450","uncultured haloarchaeon MSP8","","","","","Euryarchaeota","","Archaea",NA,NA,""
